Concept,Language,Construction,Glosses,Morphosyntactic class,Structure,LEX Synt,Syntactic coding,Semantic roles,Xform,Xrole,Yform,Yrole,Zform,Zrole,Collocations,Corpus example,Translation
PLACE,Russian,не сходя с места,,locative?,neg LEXV prep LN-gen,,,,,,,,,,"не сходя с места (НКРЯ, 0.64 IPM)","На таких девушках надо жениться сразу, не сходя с места. [https://ruscorpora.ru/]","One should marry such women quickly, without hesitation."
,,с места на место,,?,prep LN-gen prep LN-acc,,,,,,,,,,"с места на место (НКРЯ, 3.84 IPM)","Она села за стол, переставила солонку с места на место, налила себе воды. [https://ruscorpora.ru/]","She sat at the table, moved the salt shaker from one place to another, poured herself some water."
,,на месте (=сразу),,locative,prep LN-loc,,,,,,,,,,"на месте (=сразу) (НКРЯ, 68.62 IPM, общ)",<...> мужчина умер на месте. [https://ruscorpora.ru/],The man died immediately.
,,на месте (=где ожидается),,locative,prep LN-loc,,,,,,,,,,"на месте (=где ожидается) (НКРЯ, 68.62 IPM, общ)","Помощник оказался на месте, тоже выслушал срочную редакционную просьбу и попросил прислать ему факс. [https://ruscorpora.ru/]","The assistant turned out to be present, he listened to the urgent editorial request as well and asked to be sent a fax."
,,на месте X-а,,locative possessive,prep LN-loc LEXN-gen,,,,Gen,Psr,,,,,"на месте X-а (НКРЯ, 21 IPM) (на его/её/их месте - НКРЯ, 6.56 IPM)","Самые глубокие из прозрений физиков стали ответом на вопрос: как я устроил бы этот занятный предмет, будь я на месте Творца? [https://ruscorpora.ru/]","The deepest breakthroughts of physicists became answers to this question: how would I arrange this curious subject, if I were the Creator?"
,,на своём месте (в идеальной/гармоничной позиции),,reflexive locative,prep LEXPRON-loc LN-loc,,,,Loc,?,,,,,"на своём месте (НКРЯ, 5.17 IPM)",Здесь он оказался на своем месте <...> [https://ruscorpora.ru/],"Here, he turned out to be in his place."
,,стоять на месте,,locative,LEXV prep LN-loc,,,,,,,,,,"стоять на месте (НКРЯ, 3.98 IPM)",Но прогресс не стоит на месте. [https://ruscorpora.ru/],But progress is not stagnant.
,,сорваться с места,,punctual ?,LEXV prep LN-gen,,,,,,,,,,"сорваться с места (НКРЯ, 1.85 IPM)","Я могу сорваться с места и уехать куда-нибудь просто потому, что хочется переменить обстановку. [https://ruscorpora.ru/]",I can just up and leave somewhere just because I want a change of scenery.
,,не находить себе места,,durative ?,neg LEXV LEXPRON-dat LN-gen,,,,,,,,,,"не находить себе места (НКРЯ, 1.22 IPM)",Вдова <...> буквально не находила себе места от горя. [https://ruscorpora.ru/],The widow was restless from grief.
,,занимать особое место,,locative,LEXV LEXADJ-acc LN-acc,,,,Acc,Th,,,,,"занимать особое место (НКРЯ, 0.39 IPM)",Вологодская духовная семинария занимала особое место в общественной жизни губернии. [https://ruscorpora.ru/],Vologod's seminary played a special role in the social life of the province.
