Concept,Language,Construction,Glosses,Morphosyntactic class,Structure,LEX Synt,Xform,Xrole,Yform,Yrole,Zform,Zrole,Collocations,Corpus example,Translation
CARRY,English,bear burden,carry burden,Experiential,LV LEXN,Obj,Zero,Exp,,,,,"bear burden (Araneum, 0.86 ipm), bear brunt (Araneum, 1.81 ipm), bear consequences (Araneum, 0.24 ipm), bear loss (Araneum, 0.35 ipm), bear weight (Araneum, 0.30 ipm)",,
CARRY,English,bear in mind,carry in mind,Experiential,LV Prep LEXN,Obl.loc,Zero,Exp,Zero,Stym,,,"bear in mind (Araneum, 8.66 ipm)",,
CARRY,English,bear name,carry name,Possession of property,LV LEXN,Obj,Zero,Th,Zero,Prop,,,"bear name (Araneum, 1.92 ipm)",,
CARRY,English,bear resposibility,carry responsibility,Agentive relation,LV LEXN,Obj,Zero,Agt,Prep,Th,,,"bear resposibility (Araneum, 1.04 ipm), bear cost (Araneum, 1.23 ipm), bear risk (Araneum, 0.45 ipm)",,
CARRY,English,bear witness,carry witness,Thematic relation,LV LEXN,Obj,Zero,Th,Prep,Gr,,,"bear fruit (Araneum, 3.36 ipm), bear meaning (Araneum, 0.23 ipm), bear relationship (Araneum, 0.24 ipm), bear resemblance (Araneum, 0.81 ipm), bear result (Araneum, 0.32 ipm), bear spirit (Araneum, 0.27 ipm), bear testament (Araneum, 0.26 ipm), bear testimony (Araneum, 1.10 ipm), bear the mark (Araneum, 0.32 ipm), bear witness (Araneum, 1.64 ipm)",,
CARRY,English,carry burden,carry burden,Experiential,LV LEXN,Obj,Zero,Exp,,,,,"carry burden (Araneum, 1.02 ipm), carry load (Araneum, 1.23 ipm), carry weight (Araneum, 1.97 ipm)",,
CARRY,English,carry forward,carry forward,Agentive event,LV LEXADV,Adv,Zero,Agt,Zero,Th,,,"carry forward (Araneum, 1.89 ipm), carry further (Araneum, 0.51 ipm)",,
CARRY,English,carry message,carry message,Thematic relation,LV LEXN,Obj,Zero,Th,,,,,"carry idea (Araneum, 0.36 ipm), carry information (Araneum, 0.50 ipm), carry message (Araneum, 1.12 ipm), carry potential (Araneum, 0.24 ipm)",,
CARRY,English,carry name,carry name,Possession of property,LV LEXN,Obj,Zero,Th,Zero,Prop,,,"carry name (Araneum, 0.71 ipm)",,
CARRY,English,carry on shoulders,carry on shoulders,Experiential,LV Prep LEXN,Obl.loc,Zero,Exp,Zero,Stym,,,"carry on shoulders (Araneum, 0.24 ipm)",,
CARRY,English,carry responsibility,carry responsibility,Agentive relation,LV LEXN,Obj,Zero,Agt,Prep,Th,,,"carry responsibility (Araneum, 1.10 ipm)",,
CARRY,English,carry risk,carry risk,Potential malefactive,LV LEXN,Obj,Zero,Csr,Prep,Mal,,,"carry penalty (Araneum, 0.27 ipm), carry risk (Araneum, 1.53 ipm)",,
CARRY,English,carry through,carry through,Causative,LV LEXADV,Adv,Zero,Csr,Zero,Th,,,"carry through (Araneum, 3.65 ipm)",,
