Concept,Language,Construction,Glosses,Morphosyntactic class,Structure,LEX Synt,Syntactic coding,Semantic roles,Xform,Xrole,Yform,Yrole,Zform,Zrole,Collocations,Corpus example,Translation
path,russian,пройти путь,пройти.PFV.INF путь.ACC.SG,"agentive transitive, dynamic, durative",LV LEXV,Pred,ACC,Th,Nom,Agt,ACC,Th,-,-,"НКРЯ, IPM 6,94",Прежде этого он прошел определенный путь развития…,"Before this, he traversed the current path of development…"
path,russian,проделать путь,проделать.PFV.INF путь.ACC.SG,"agentive transitive, dynamic, durative",LV LEXV,Pred,ACC,Th,Nom,Agt,ACC,Th,-,-,"НКРЯ, IPM 1,37","Он родился в семье военных и проделал весь путь, на роду написанный людям, делающим военную карьеру",He was born into a military family and followed the entire path—predestined by those who shape the military establishment—that was laid out for him.
path,russian,совершить путь,совершить.PFV.INF путь.ACC.SG,"agentive transitive, dynamic, durative",LV LEXV,Pred,ACC,Th,Nom,Agt,ACC,Th,-,-,"НКРЯ, IPM 0,77",За какое время велосипедист совершит путь в прямом и обратном направлениях?,How long will it take the cyclist to complete the journey there and back?
path,russian,проложить путь,проложить.PFV.INF путь.ACC.SG,"agentive transitive, dynamic, momentary",LV LEXV,Pred,ACC,Pat,Nom,Agt,ACC,Pat,-,-,"НКРЯ, IPM 1,47","Мы никак не скажем, чтобы г. Гончаров проложил новые пути в искусстве: новых путей нам пока не надобно.",We certainly would not say that Mr. Goncharov has blazed new trails in art; we have no need for new trails at the moment.
path,russian,открыть путь,открыть.PFV.INF путь.ACC.SG,"causative/permissive, dynamic, momentary",LV LEXV,Pred,ACC,Th,Nom,Agt,ACC,Th,-,-,"НКРЯ, IPM 2,68",Их применение открыло путь к надежному контролю за изменением газонасыщенности пластов-коллекторов в процессе эксплуатации месторождений,Their application paved the way for reliable monitoring of changes in reservoir gas saturation during field development.
path,russian,найти путь,найти.PFV.INF путь.ACC.SG,"agentive transitive, dynamic, momentary",LV LEXV,Pred,ACC,Th,Nom,Agt,ACC,Th,-,-,"НКРЯ, IPM 3,18","Вот если ты мне на четырнадцатый год (а я руководил оркестром тринадцать лет) скажешь, что все по-прежнему, тогда я соглашусь, что, пожалуй, он нашел тот путь, которого я не видел и не знал.","If, in the fourteenth year—and I led the orchestra for thirteen years—you tell me that everything remains the same, then I will agree that he has likely found a path I neither saw nor knew."
path,russian,выбрать путь,выбрать.PFV.INF путь.ACC.SG,"agentive transitive, dynamic, momentary",LV LEXV,Pred,ACC,Th,Nom,Agt,ACC,Th,-,-,"НКРЯ, IPM 1,56","Я быстренько выбрал второй путь, исходя из того, что первый никуда от меня не денется.","I quickly chose the second path, reasoning that the first one wasn't going anywhere."
path,russian,избрать путь,избрать.PFV.INF путь.ACC.SG,"agentive transitive, dynamic, momentary",LV LEXV,Pred,ACC,Th,Nom,Agt,ACC,Th,-,-,"НКРЯ, IPM 2,15","Другой путь поиска избрал известный в Скандинавии и в ряде зарубежных стран Европы и Америки специалист по иммунологии профессор Карл Борребэк, который применил генные технологии в производстве антител для внедрения их в протеиновые микрочипы.","Professor Carl Borrebaeck—an immunology specialist well-known in Scandinavia and various countries across Europe and the Americas—chose a different research approach, applying gene technologies to the production of antibodies for incorporation into protein microchips."
path,russian,начать путь,начать.PFV.INF путь.ACC.SG,"agentive transitive, dynamic, phasal",LV LEXV,Pred,ACC,Th,Nom,Agt,ACC,Th,-,-,"НКРЯ, IPM 1,32","Правда, больничная койка и актировка в медицинской комиссии не зависели от врача, выдающего путевку, но важно ведь было начать этот путь.","Admittedly, the hospital bed and the medical board’s decision to discharge the patient on health grounds were beyond the control of the doctor issuing the referral, but the important thing was to set the process in motion."
path,russian,продолжить путь,продолжить.PFV.INF путь.ACC.SG,"agentive transitive, dynamic, phasal",LV LEXV,Pred,ACC,Th,Nom,Agt,ACC,Th,-,-,"НКРЯ, IPM 1,47","А великая теория эволюции видов Чарльза Дарвина, проложившая прямой путь от диалектического материализма к историческому, сейчас нуждается в существенном пересмотре и дополнении с учетом глобальных биологических катастроф, предсказанных еще в начале XIX века гениальным французским естествоиспытателем Жоржем Кювье.",And Charles Darwin’s great theory of the evolution of species—which paved a direct path from dialectical materialism to historical materialism—now requires substantial revision and supplementation in light of the global biological catastrophes predicted as early as the beginning of the 19th century by the brilliant French naturalist Georges Cuvier.
path,russian,идти по пути ,,,,,,,,,,,,,,,
path,russian,пойти по пути,,,,,,,,,,,,,,,
path,russian,встать на путь,,,,,,,,,,,,,,,
path,russian,вступить на путь,,,,,,,,,,,,,,,
path,russian,вернуться/возвратиться на путь,,,,,,,,,,,,,,,
path,russian,сбиться с пути,,,,,,,,,,,,,,,
path,russian,следовать пути,,,,,,,,,,,,,,,
